Country,Ranking,Economy,(thousands),
CHN,1,China,"1,364,270",
IND,2,India,"1,295,292",
USA,3,United States,"318,857",
IDN,4,Indonesia,"254,455",
BRA,5,Brazil,"206,078",
PAK,6,Pakistan,"185,044",
NGA,7,Nigeria,"177,476",
BGD,8,Bangladesh,"159,078",
RUS,9,Russian Federation,"143,820",
JPN,10,Japan,"127,132",
MEX,11,Mexico,"125,386",
PHL,12,Philippines,"99,139",
ETH,13,Ethiopia,"96,959",
VNM,14,Vietnam,"90,729",
EGY,15,"Egypt, Arab Rep.","89,580",
DEU,16,Germany,"80,971",
IRN,17,"Iran, Islamic Rep.","78,144",
TUR,18,Turkey,"75,932",
ZAR,19,"Congo, Dem. Rep.","74,877",
THA,20,Thailand,"67,726",
FRA,21,France,"66,218",
GBR,22,United Kingdom,"64,559",
ITA,23,Italy,"60,789",
ZAF,24,South Africa,"54,002",
MMR,25,Myanmar,"53,437",
TZA,26,Tanzania,"51,823",
KOR,27,"Korea, Rep.","50,424",
COL,28,Colombia,"47,791",
ESP,29,Spain,"46,476",
UKR,30,Ukraine,"45,363",
KEN,31,Kenya,"44,864",
ARG,32,Argentina,"42,980",
SDN,33,Sudan,"39,350",
DZA,34,Algeria,"38,934",
POL,35,Poland,"38,012",
UGA,36,Uganda,"37,783",
CAN,37,Canada,"35,544",
IRQ,38,Iraq,"34,812",
MAR,39,Morocco,"33,921",
AFG,40,Afghanistan,"31,628",
PER,41,Peru,"30,973",
SAU,42,Saudi Arabia,"30,887",
UZB,43,Uzbekistan,"30,758",
VEN,44,"Venezuela, RB","30,694",
MYS,45,Malaysia,"29,902",
NPL,46,Nepal,"28,175",
MOZ,47,Mozambique,"27,216",
GHA,48,Ghana,"26,787",
YEM,49,"Yemen, Rep.","26,184",
PRK,50,"Korea, Dem. People's Rep.","25,027",
AGO,51,Angola,"24,228",
MDG,52,Madagascar,"23,572",
AUS,53,Australia,"23,470",
CMR,54,Cameroon,"22,773",
SYR,55,Syrian Arab Republic,"22,158",
CIV,56,Côte d'Ivoire,"22,157",
LKA,57,Sri Lanka,"20,771",
ROM,58,Romania,"19,904",
NER,59,Niger,"19,114",
CHL,60,Chile,"17,763",
BFA,61,Burkina Faso,"17,589",
KAZ,62,Kazakhstan,"17,289",
MLI,63,Mali,"17,086",
NLD,64,Netherlands,"16,865",
MWI,65,Malawi,"16,695",
GTM,66,Guatemala,"16,015",
ECU,67,Ecuador,"15,903",
ZMB,68,Zambia,"15,721",
KHM,69,Cambodia,"15,328",
ZWE,70,Zimbabwe,"15,246",
SEN,71,Senegal,"14,673",
TCD,72,Chad,"13,587",
GIN,73,Guinea,"12,276",
SSD,74,South Sudan,"11,911",
CUB,75,Cuba,"11,379",
RWA,76,Rwanda,"11,342",
BEL,77,Belgium,"11,231",
TUN,78,Tunisia,"10,997",
GRC,79,Greece,"10,870",
BDI,80,Burundi,"10,817",
BEN,81,Benin,"10,598",
HTI,82,Haiti,"10,572",
BOL,83,Bolivia,"10,562",
CZE,84,Czech Republic,"10,525",
SOM,85,Somalia,"10,518",
DOM,86,Dominican Republic,"10,406",
PRT,87,Portugal,"10,401",
HUN,88,Hungary,"9,863",
SWE,89,Sweden,"9,696",
AZE,90,Azerbaijan,"9,535",
BLR,91,Belarus,"9,470",
ARE,92,United Arab Emirates,"9,086",
AUT,93,Austria,"8,546",
TJK,94,Tajikistan,"8,296",
ISR,95,Israel,"8,216",
CHE,96,Switzerland,"8,188",
HND,97,Honduras,"7,962",
PNG,98,Papua New Guinea,"7,464",
HKG,99,"Hong Kong SAR, China","7,242",
BGR,100,Bulgaria,"7,224",
SRB,101,Serbia,"7,129",
TGO,102,Togo,"7,115",
LAO,103,Lao PDR,"6,689",
JOR,104,Jordan,"6,607",
PRY,105,Paraguay,"6,553",
SLE,106,Sierra Leone,"6,316",
LBY,107,Libya,"6,259",
SLV,108,El Salvador,"6,108",
NIC,109,Nicaragua,"6,014",
